ID	Fascination	Being_away_to	Being_away_from	Compatibility	Extent_Coherence	Extent_Scope	Positive	Negative	Valence	Arousal	Dominance
2	4.4	4.666666667	4	4	4	2	19	10	8	1	7
3	1	2	2	2.25	5.333333333	5	14	12	5	4	1
5	1.2	4	1.666666667	3.75	5	2	16	14	4	6	3
6	1.2	3	1	3.5	6	5	10	10	1	1	1
7	2.2	3.333333333	1.666666667	2	3.333333333	4	15	17	2	3	2
8	1	3	1	2	3	1	11	13	4	2	5
9	2.2	2.333333333	1.666666667	2	3.666666667	1	34	30	1	9	1
10	3.6	4	1.333333333	2.75	3.666666667	3	27	26	4	4	4
11	6.8	3.666666667	3.333333333	5	5.333333333	1	35	13	8	8	2
12	1.2	2.666666667	1.666666667	3	4.666666667	5	15	20	5	5	5
13	6.2	3	5	4.75	6.666666667	6	22	10	7	2	8
15	1	1.333333333	1	2.5	1.333333333	1	13	23	2	7	7
16	1.8	2.333333333	1	3	2.666666667	5	16	11	5	5	5
17	1.4	3	1	3	3.333333333	1	14	17	5	7	5
18	1.4	2.666666667	1	2.5	3	1	11	10	5	5	4
28	1.4	2.666666667	1	1.75	2.666666667	1	14	27	3	5	1
31	3	2.666666667	1.333333333	2.5	3	1	18	12	6	6	7
33	2.8	2.666666667	1	2.75	6.333333333	6	16	10	6	6	6
34	1	3	1	2.25	3.333333333	1	14	23	2	7	6
35	1.6	3	1	3	4	6	23	14	6	6	7
36	1.8	3	2	3	2.333333333	2	19	15	4	5	4
37	3	3.333333333	2	3.5	4.333333333	2	18	12	6	4	2
38	2.2	3	1	3.25	5	6	24	16	3	7	3
40	2	3.333333333	2.333333333	3.5	3	2	10	16	4	5	6
42	3.8	3.666666667	3	4	3.333333333	1	31	20	5	1	6
43	2.2	3	1.333333333	2.75	4.333333333	4	21	24	4	7	3
44	1	2.333333333	1	2	5.666666667	5	10	12	5	6	3
45	2	2	2	3.25	4	2	14	23	3	3	4
55	1	3.333333333	2	2.5	2.666666667	2	12	16	5	3	3
58	3	3.333333333	2	4	4.333333333	1	20	10	7	3	2
59	3	3	3	3.5	4.666666667	5	13	10	5	1	1
61	2.6	4.333333333	2.666666667	4.25	5.333333333	4	22	14	3	6	5
62	1.6	2.666666667	1.666666667	2.75	3.333333333	1	14	18	3	5	6
64	3.4	3	1.666666667	3.5	5.666666667	4	19	10	6	2	7
65	5.4	3	1	5.25	6	1	28	18	5	7	5
66	1.2	2.333333333	1	3.25	4	2	19	13	3	6	8
67	1.2	2.666666667	1	2	5.333333333	2	15	19	4	3	1
68	2.8	2.666666667	2	3	3.666666667	2	22	16	4	3	6
69	1.8	2.666666667	1	2	2.666666667	4	13	11	5	5	5
70	4	4.666666667	3	3	4.666666667	5	19	10	5	5	5
2	5.2	4	3	4.25	5.666666667	2	21	10	9	1	7
3	2.8	3.333333333	3	1.5	4.666666667	6	11	13	5	1	1
5	1	2.333333333	1.333333333	3.5	5.666666667	1	17	17	3	7	3
6	1	1	1	1.75	4.666666667	4	10	12	3	3	1
7	2.2	2.666666667	2	2.5	3	4	17	19	4	3	3
8	1	2.666666667	1	2.25	2.666666667	1	11	13	5	3	7
9	1.6	2.666666667	3.333333333	2.25	2.333333333	1	35	32	3	9	8
19	1	4.333333333	1	3	1	1	30	37	1	8	9
20	2.8	3.333333333	1	3.75	3.333333333	2	25	21	5	7	6
21	1	2.333333333	1	1.75	1.666666667	2	15	12	3	5	5
22	4.6	3.666666667	3	3.75	4	5	20	10	7	5	2
23	5	4.666666667	4.666666667	4	5.666666667	3	27	11	6	4	3
24	4	4	2	3.75	5.333333333	6	16	10	5	5	8
25	3	3.333333333	1.333333333	3.25	3	3	17	13	5	5	5
26	4.4	2.666666667	2.333333333	4.75	5.666666667	6	33	25	6	3	3
27	2.6	3	2.333333333	3.75	4.666666667	1	20	10	5	4	5
28	4.4	3.333333333	1.333333333	3	5	4	16	10	7	5	5
31	4.2	3.666666667	2	2	3.333333333	1	19	12	5	6	6
33	5.2	1.666666667	2.333333333	4.25	5	6	17	10	6	5	1
34	1.8	4.333333333	2	3.25	3.333333333	1	20	24	2	7	7
35	2.4	2.666666667	2	3.25	4	2	19	10	5	6	6
36	2.2	3.666666667	2.666666667	3	3	3	20	15	5	6	5
46	1.8	2.333333333	2	2.5	2	6	16	11	5	3	6
47	4	3.333333333	3.666666667	4	4	2	20	16	6	6	4
49	5	4.666666667	3.666666667	4	4	4	31	11	9	5	5
50	1	2.666666667	1	2.5	3	2	11	20	3	6	7
51	3.4	5	2	3	5.666666667	2	25	10	5	3	5
52	2.6	3.333333333	1.666666667	3.25	3.666666667	3	18	15	5	3	4
53	1.2	2	1	1.5	4	1	10	11	4	3	3
54	2.4	4	2	2.75	4.333333333	3	22	10	5	2	8
55	1	3	1.666666667	2.75	3	2	11	10	5	2	2
57	3	2.333333333	1	3	3.333333333	1	16	10	6	3	5
58	2.2	3	2	4.25	3.666666667	1	25	10	6	4	3
60	6	4.333333333	6.333333333	5	6	7	14	10	7	1	7
62	2.4	2.666666667	1.333333333	2.75	3.333333333	1	15	21	4	6	6
63	2.4	2.666666667	1	4.75	3.666666667	1	27	30	3	7	5
64	4	3.333333333	3	4	6	4	19	10	7	2	9
67	1.2	2.666666667	1	2.75	2	1	12	15	4	3	2
68	2.2	3	2.333333333	3.75	3	3	24	15	4	4	5
70	2.8	4	2.333333333	2.5	4.333333333	5	19	10	5	5	7
10	4.4	3.666666667	1	4	3.333333333	3	31	23	5	4	4
11	7	3.666666667	4	5.5	5.666666667	3	37	11	9	7	5
12	2.6	3.333333333	1.333333333	3.5	4	4	17	18	5	6	4
13	5	3	3	5.75	5.333333333	7	14	10	3	7	7
15	1	2.333333333	1	2.75	2.666666667	1	14	33	1	8	8
16	1.4	2.333333333	1.333333333	2.25	1.666666667	3	13	15	3	3	4
17	1	5	1	2.5	1	1	23	31	2	7	1
18	1.8	3	1	2.5	2.666666667	2	13	21	5	6	6
19	4.4	4.666666667	3.333333333	4.75	4.666666667	3	28	20	7	5	7
20	1.8	4.333333333	1.333333333	4	3	1	20	27	2	8	7
21	1	1	1.333333333	2	1.333333333	1	11	11	3	3	3
22	2.6	2.666666667	1.333333333	3	2	6	17	17	3	5	6
23	3.6	3.666666667	3.666666667	4	3	1	23	11	5	4	6
24	3.8	3	2	3.75	5.666666667	7	19	11	5	5	5
25	2.4	3.333333333	1.666666667	3.25	3	5	20	16	4	6	2
26	4.2	3.333333333	2.333333333	3.25	4.333333333	5	26	28	5	6	7
27	3	3	2.666666667	4.75	5	2	15	10	7	3	2
37	5.4	4.666666667	2	4.5	6	4	39	12	8	3	1
38	1.6	2.333333333	1	4	5.666666667	5	24	14	3	8	4
40	1	3	1.333333333	2.5	4	2	14	17	3	6	7
42	4	6	3.666666667	4.5	5.666666667	1	40	22	7	8	5
43	2.6	3.333333333	1.666666667	3	3.666666667	4	20	16	4	5	5
44	1.2	3	1	2.75	5	5	14	13	5	3	5
45	1.6	4	2.666666667	3.25	2.666666667	2	13	21	4	3	4
46	1.4	2.666666667	1.666666667	2.5	2	4	15	10	5	1	3
47	2.2	2	2	1.75	2	2	17	18	5	6	6
49	3	4.333333333	3	2.75	3.666666667	2	22	14	5	5	3
50	1	2.333333333	1	2.75	3.333333333	2	12	15	4	5	6
51	1.8	3	1	3.25	5	5	26	14	4	3	5
52	1.8	3	1.333333333	3	4.666666667	4	16	16	5	3	4
53	1.2	2	3	1.25	3.333333333	1	12	11	4	3	3
54	1.6	2.333333333	1	3	2.333333333	2	24	26	4	6	5
56	5.8	3	2	4	7	7	37	12	7	5	3
57	2.2	2.666666667	2	2.25	3.333333333	1	12	11	5	3	5
59	3.2	2.666666667	3	3.5	4.666666667	5	16	10	5	1	1
60	1	2.333333333	1	3	2	1	31	28	2	7	2
61	1.8	4	2	4	4.666666667	3	21	17	5	7	5
63	1	2.666666667	1	3	3.666666667	3	26	31	1	9	7
65	5.4	3	3	3.75	4.333333333	1	23	14	5	5	5
69	1.4	2.333333333	1.333333333	2.25	3	3	12	11	4	4	7
2	4.4	4.333333333	4	3.75	4	1	16	10	8	1	7
3	4.6	5.333333333	6.333333333	4	3.333333333	6	21	10	7	5	1
