ID,LAeq,LCeq-Aeq,LA5-95,Loudness,Sharpness,Green,Water,Sky,Grey,Luminance,Fascination,Being_away_to,Being_away_from,Compatibility,Extent_Coherence,Extent_Scope,Positive,Negative,Valence,Arousal,Dominance
2,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,0.2,4.666666667,-0.333333333,4,4,2,19,0,-1,0,7
3,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-1.8,2,-1,2.25,5.333333333,5,14,-4,0,0,1
5,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-4.2,4,-2,3.75,5,2,16,4,-3,3,3
6,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-2.8,3,-3,3.5,6,5,10,-16,-4,-2,1
7,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-0.4,3.333333333,0,2,3.333333333,4,15,-11,-4,-3,2
8,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-2.2,3,-2,2,3,1,11,2,-3,1,5
9,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-1.4,2.333333333,-2.666666666,2,3.666666667,1,34,19,-6,6,1
11,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,4,3.666666667,0.333333333,5,5.333333333,1,35,-5,5,3,2
12,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-0.8,2.666666667,-2,3,4.666666667,5,15,2,-2,2,5
13,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,4.4,3,2.333333333,4.75,6.666666667,6,22,-14,4,-5,8
15,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-2.8,1.333333333,-0.666666667,2.5,1.333333333,1,13,12,-2,5,7
16,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-3.4,2.333333333,-4,3,2.666666667,5,16,1,-2,1,5
17,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-4,3,-4,3,3.333333333,1,14,7,-3,6,5
18,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-2.4,2.666666667,-2.666666667,2.5,3,1,11,0,0,4,4
28,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-0.4,2.666666667,-1,1.75,2.666666667,1,14,11,-2,-1,1
31,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,2,2.666666667,-2.666666667,2.5,3,1,18,-2,2,0,7
33,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,0.8,2.666666667,0,2.75,6.333333333,6,16,-7,1,3,6
34,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-3.2,3,-2.666666667,2.25,3.333333333,1,14,12,-3,4,6
35,75.9,12.4,16.5,39.2,1.3,7,0,18,73,141,-3.2,3,-4,3,4,6,23,4,-1,5,7
